ERROR  | wrapper  | 2016/12/13 15:45:52 | The Goods Service service was launched, but failed to start.
STATUS | wrapper  | 2016/12/13 15:49:01 | Starting the Goods Service service...
STATUS | wrapper  | 2016/12/13 15:49:01 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/13 15:49:01 | Launching a JVM...
INFO   | jvm 1    | 2016/12/13 15:49:01 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/12/13 15:49:01 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/12/13 15:49:01 | 
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:01,972 [main] INFO  goods.utilities.BaseConfig - Load src\BaseConf.properties
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:01,972 [main] ERROR goods.utilities.BaseConfig - Load src\BaseConf.properties failed!java.io.FileNotFoundException: src\BaseConf.properties (系统找不到指定的路径。)
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,041 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Service started!
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,087 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,104 [WrapperSimpleAppMain] INFO  org.quartz.simpl.SimpleThreadPool - Job execution threads will use class loader of thread: WrapperSimpleAppMain
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,110 [WrapperSimpleAppMain] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,110 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.2.3 created.
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,110 [WrapperSimpleAppMain] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,110 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.2.3) 'DefaultQuartzScheduler' with instanceId 'NON_CLUSTERED'
INFO   | jvm 1    | 2016/12/13 15:49:02 |   Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
INFO   | jvm 1    | 2016/12/13 15:49:02 |   NOT STARTED.
INFO   | jvm 1    | 2016/12/13 15:49:02 |   Currently in standby mode.
INFO   | jvm 1    | 2016/12/13 15:49:02 |   Number of jobs executed: 0
INFO   | jvm 1    | 2016/12/13 15:49:02 |   Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
INFO   | jvm 1    | 2016/12/13 15:49:02 |   Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.
INFO   | jvm 1    | 2016/12/13 15:49:02 | 
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,110 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler 'DefaultQuartzScheduler' initialized from default resource file in Quartz package: 'quartz.properties'
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,110 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Quartz scheduler version: 2.2.3
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,125 [WrapperSimpleAppMain] ERROR goods.schedule.QuartzTask - cronExpression cannot be null
INFO   | jvm 1    | 2016/12/13 15:49:02 | 2016-12-13 15:49:02,125 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Service completed!
STATUS | wrapper  | 2016/12/13 15:49:03 | Goods Service started.
STATUS | wrapper  | 2016/12/13 15:54:07 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/12/13 15:54:07 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/13 15:54:07 | Launching a JVM...
INFO   | jvm 1    | 2016/12/13 15:54:08 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2016/12/13 15:54:08 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2016/12/13 15:54:08 | 
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,199 [main] INFO  goods.utilities.BaseConfig - Load src\BaseConf.properties
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,199 [main] ERROR goods.utilities.BaseConfig - Load src\BaseConf.properties failed!java.io.FileNotFoundException: src\BaseConf.properties (系统找不到指定的路径。)
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,299 [WrapperSimpleAppMain] INFO  goods.schedule.QuartzTask - Service started!
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,378 [WrapperSimpleAppMain] INFO  org.quartz.impl.StdSchedulerFactory - Using default implementation for ThreadExecutor
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,378 [WrapperSimpleAppMain] INFO  org.quartz.simpl.SimpleThreadPool - Job execution threads will use class loader of thread: WrapperSimpleAppMain
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,399 [WrapperSimpleAppMain] INFO  org.quartz.core.SchedulerSignalerImpl - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,400 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Quartz Scheduler v.2.2.3 created.
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,400 [WrapperSimpleAppMain] INFO  org.quartz.simpl.RAMJobStore - RAMJobStore initialized.
INFO   | jvm 1    | 2016/12/13 15:54:08 | 2016-12-13 15:54:08,400 [WrapperSimpleAppMain] INFO  org.quartz.core.QuartzScheduler - Scheduler meta-data: Quartz Scheduler (v2.2.3) 'DefaultQuartzScheduler' with instanceId 'NON_CLUSTERED'
INFO   | jvm 1    | 2016/12/13 15:54:08 |   Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
INFO   | jvm 1    | 2016/12/13 15:54:08 |   NOT STARTED.
